"asm_script","c_owner","status","notes"
"AgathasRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"BikeShop.asm","","missing","no normalized name match in src/game/*_scripts.c"
"BillsHouse.asm","bills_house_scripts.c","mapped","name-normalized match"
"BluesHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"BrunosRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonChiefHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonDiner.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonHotel.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMansion1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMansion2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMansion3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMansionRoof.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMansionRoofHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMart1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMart2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMart3F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMart4F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMart5F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMartElevator.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonMartRoof.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeladonPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanBadgeHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanCave1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanCave2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanCaveB1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanCity_2.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanTradeHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CeruleanTrashedHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"ChampionsRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarIsland.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarLab.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarLabFossilRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarLabMetronomeRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarLabTradeRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CinnabarPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Colosseum.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CopycatsHouse1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"CopycatsHouse2F.asm","","missing","no normalized name match in src/game/*_scripts.c"
"Daycare.asm","","missing","no normalized name match in src/game/*_scripts.c"
"DiglettsCave.asm","","missing","no normalized name match in src/game/*_scripts.c"
"DiglettsCaveRoute11.asm","","missing","no normalized name match in src/game/*_scripts.c"
"DiglettsCaveRoute2.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FightingDojo.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaBillsGrandpasHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaCity.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaGoodRodHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaGym.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaMeetingRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"FuchsiaPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"GameCorner.asm","","missing","no normalized name match in src/game/*_scripts.c"
"GameCornerPrizeRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"HallOfFame.asm","","missing","no normalized name match in src/game/*_scripts.c"
"IndigoPlateau.asm","","missing","no normalized name match in src/game/*_scripts.c"
"IndigoPlateauLobby.asm","","missing","no normalized name match in src/game/*_scripts.c"
"LancesRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"LavenderCuboneHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"LavenderMart.asm","","missing","no normalized name match in src/game/*_scripts.c"
"LavenderPokecenter.asm","","missing","no normalized name match in src/game/*_scripts.c"
"LavenderTown.asm","","missing","no normalized name match in src/game/*_scripts.c"
"LoreleisRoom.asm","","missing","no normalized name match in src/game/*_scripts.c"
"MrFujisHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"MrPsychicsHouse.asm","","missing","no normalized name match in src/game/*_scripts.c"
"MtMoon1F.asm","","missing","no normalized name match in src/game/*_scripts.c"
