"asm_script","c_owner","status","evidence","notes"
"AgathasRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"BikeShop.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"BillsHouse.asm","bills_house_scripts.c; event_data.c","mapped","event_map_symbol_exact; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"BluesHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"BrunosRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonChiefHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonCity.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonDiner.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonGym.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonHotel.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMansion1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMansion2F.asm","","missing","","no name/ref/symbol evidence found"
"CeladonMansion3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMansionRoof.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"CeladonMansionRoofHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMart1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMart2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMart3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMart4F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMart5F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonMartElevator.asm","","missing","","no name/ref/symbol evidence found"
"CeladonMartRoof.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeladonPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanBadgeHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanCave1F.asm","","missing","","no name/ref/symbol evidence found"
"CeruleanCave2F.asm","","missing","","no name/ref/symbol evidence found"
"CeruleanCaveB1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanCity.asm","cerulean_scripts.c; event_data.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"CeruleanCity_2.asm","","missing","","no name/ref/symbol evidence found"
"CeruleanGym.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanTradeHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CeruleanTrashedHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"ChampionsRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarGym.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarIsland.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarLab.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"CinnabarLabFossilRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarLabMetronomeRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarLabTradeRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CinnabarPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Colosseum.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CopycatsHouse1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"CopycatsHouse2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Daycare.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"DiglettsCave.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"DiglettsCaveRoute11.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"DiglettsCaveRoute2.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FightingDojo.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaBillsGrandpasHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaCity.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaGoodRodHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaGym.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaMeetingRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"FuchsiaPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"GameCorner.asm","event_data.c","partial","event_map_symbol_exact; event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"GameCornerPrizeRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"HallOfFame.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"IndigoPlateau.asm","event_data.c","partial","event_map_symbol_prefix","owner backed by explicit code symbol/reference evidence"
"IndigoPlateauLobby.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"LancesRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"LavenderCuboneHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"LavenderMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"LavenderPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"LavenderTown.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"LoreleisRoom.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"MrFujisHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"MrPsychicsHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"MtMoon1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"MtMoonB1F.asm","","missing","","no name/ref/symbol evidence found"
"MtMoonB2F.asm","event_data.c; mtmoon_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"MtMoonPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Museum1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"Museum2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"NameRatersHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"OaksLab.asm","event_data.c; oakslab_scripts.c","mapped","event_map_symbol_exact; exact_name; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"PalletTown.asm","event_data.c; pallet_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"PewterCity.asm","event_data.c; gate_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"PewterGym.asm","event_data.c; gym_scripts.c","partial","event_map_symbol_exact; explicit_scripts_ref","owner backed by explicit code symbol/reference evidence"
"PewterMart.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PewterNidoranHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PewterPokecenter.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PewterSpeechHouse.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonFanClub.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonMansion1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonMansion2F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonMansion3F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
"PokemonMansionB1F.asm","event_data.c","partial","event_map_symbol_exact","owner backed by explicit code symbol/reference evidence"
