"asm_script","status","partial_reason","c_owner","evidence","maps_referenced","warps","npcs","signs","items","trainers","hidden_events","surface_score","keyness"
"VermilionGym.asm","mapped","dedicated script module with explicit asm reference","event_data.c; vermilion_gym_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","1","2","5","0","0","0","15","37","high"
"Route24.asm","mapped","dedicated script module with explicit asm reference","event_data.c; route24_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","1","0","7","0","1","6","0","27","high"
"OaksLab.asm","mapped","dedicated script module with explicit asm reference","event_data.c; oakslab_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","1","2","11","0","0","0","0","13","medium"
"Route22.asm","mapped","dedicated script module with explicit asm reference","event_data.c; route22_scripts.c","event_map_symbol_exact; event_map_symbol_prefix; exact_name; explicit_scripts_ref","2","5","3","1","0","0","0","9","medium"
"BillsHouse.asm","mapped","dedicated script module with explicit asm reference","bills_house_scripts.c; event_data.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","1","2","3","0","0","0","1","7","low"
"Route2Gate.asm","mapped","dedicated script module with explicit asm reference","event_data.c; route2gate_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","1","4","2","0","0","0","0","6","low"
"ViridianMart.asm","mapped","dedicated script module with explicit asm reference","event_data.c; viridian_mart_scripts.c","event_map_symbol_exact; exact_name; explicit_scripts_ref","1","2","3","0","0","0","0","5","low"
"CeladonMansion2F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"CeladonMartElevator.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"CeruleanCave1F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"CeruleanCave2F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"CeruleanCity_2.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"MtMoonB1F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"RedsHouse2F.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"RocketHideoutElevator.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"SilphCoElevator.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"UndergroundPathNorthSouth.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"UndergroundPathWestEast.asm","missing","no exact name, explicit asm ref, or event_data map-symbol ownership evidence","","","0","0","0","0","0","0","0","0","unknown"
"Route1.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","24","77","104","33","3","0","0","220","high"
"Route2.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","9","18","49","5","2","15","0","121","high"
"SilphCo2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","7","49","35","0","0","0","0","84","high"
"SaffronCity.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","2","16","30","20","0","0","0","66","high"
"SSAnne2F.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; ss_anne_scripts.c","event_map_symbol_exact; event_map_symbol_prefix; explicit_scripts_ref","2","21","13","0","2","4","0","50","high"
"Route16.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","5","30","15","4","0","0","0","49","high"
"LancesRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","12","36","12","0","0","0","0","48","high"
"MtMoon1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","5","7","1","6","7","0","46","high"
"ViridianForest.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","3","14","9","6","3","3","0","44","high"
"SSAnne1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","2","17","12","0","1","4","0","43","high"
"SSAnneB1F.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","10","8","0","3","6","0","42","high"
"SSAnneB1FRooms.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","10","8","0","3","6","0","42","high"
"SaffronGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","32","9","0","0","0","0","41","high"
"Route25.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","9","1","1","9","0","40","high"
"SSAnne2FRooms.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","12","11","0","2","4","0","39","high"
"Route3.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","9","1","0","8","0","34","high"
"Route6.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","2","8","7","1","0","6","0","34","high"
"FuchsiaCity.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","9","9","14","0","0","0","32","high"
